scaffold,position,start,end,midpoint,sites,chi_rosFst,chi_melFGFst,chi_melPFst,chi_amFst,chi_agFst,chi_timPFst,ros_melFGFst,ros_melPFst,ros_amFst,ros_agFst,ros_timPFst,melFG_melPFst,melFG_amFst,melFG_agFst,melFG_timPFst,melP_amFst,melP_agFst,melP_timPFst,am_agFst,am_timPFst,ag_timPFst
HE669489,50000,0,100000,30558,14651,0.1296,0.3313,0.1405,0.2883,0.2935,0.3752,0.2592,0.0445,0.2144,0.2149,0.2948,0.2718,0.1077,0.1105,0.255,0.1973,0.1947,0.3417,-0.0069,0.1183,0.1362
HE669489,70000,20000,120000,40197,9804,0.1177,0.3474,0.1654,0.2972,0.3098,0.421,0.2466,0.0211,0.1948,0.1986,0.3163,0.2588,0.126,0.1216,0.2868,0.1812,0.1912,0.3699,-0.0137,0.1219,0.1517
HE669489,90000,40000,140000,50203,4898,NA,0.3888,NA,0.3264,0.337,0.4391,NA,NA,NA,NA,NA,NA,0.1753,0.1401,0.342,NA,NA,NA,-0.0101,0.1143,0.1283
HE669489,110000,60000,160000,60195,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669487,50000,0,100000,44060,15477,0.215,0.4429,0.2503,0.3236,0.3088,0.3749,0.3385,0.0657,0.2283,0.2128,0.358,0.3428,0.203,0.1808,0.4863,0.1899,0.1691,0.4213,0.0121,0.3072,0.2787
HE669487,70000,20000,120000,53991,12628,0.1993,0.4331,0.2476,0.3304,0.3238,0.3908,0.3379,0.0733,0.2334,0.2216,0.3546,0.3305,0.1843,0.1618,0.4816,0.1982,0.1796,0.4379,0.0168,0.3141,0.2941
HE669487,90000,40000,140000,63990,9190,0.2083,0.4395,0.2593,0.3417,0.3399,0.3786,0.3117,0.0618,0.2075,0.2021,0.3206,0.3215,0.1822,0.1599,0.4726,0.1961,0.1709,0.413,0.0091,0.2995,0.2838
HE669487,110000,60000,160000,73990,5493,0.1928,0.4105,NA,0.3397,0.3371,0.3618,NA,NA,0.1815,0.18,0.2737,NA,0.1589,0.1251,0.3495,NA,NA,NA,0.0167,0.1937,0.2015
HE669487,130000,80000,180000,83990,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669485,50000,0,100000,18801,8462,0.1194,0.3409,0.1196,0.2991,0.2759,0.3295,0.3066,0.0117,0.2484,0.2106,0.2873,0.298,0.1331,0.1132,0.2477,0.1947,0.1776,0.2718,0.0281,0.1285,0.1135
HE669485,70000,20000,120000,28651,3897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1283,NA
HE669485,90000,40000,140000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669475,50000,0,100000,17380,5118,0.1516,0.4523,0.1392,0.4115,0.39,0.3308,0.4129,-0.0411,0.3636,0.3424,0.3056,0.416,0.2917,0.29,0.3198,0.3305,0.3026,0.2517,-0.0182,0.0849,0.0972
HE669475,70000,20000,120000,27350,2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669465,50000,0,100000,14726,5902,0.2465,0.4158,0.2771,0.368,0.3507,0.3481,0.295,-0.0014,0.2176,0.1999,0.2774,0.3039,0.1552,0.1446,0.3935,0.2,0.1738,0.3272,0.0045,0.3011,0.2751
HE669465,70000,20000,120000,24886,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669463,50000,0,100000,47887,17377,0.257,0.3917,0.2725,0.3176,0.3245,0.3121,0.2373,0.0105,0.1634,0.1575,0.3259,0.2738,0.1338,0.0966,0.4021,0.1675,0.1653,0.3696,-0.0049,0.2891,0.2912
HE669463,70000,20000,120000,57037,13767,0.2456,0.3865,0.2686,0.2963,0.3137,0.2832,0.2189,0.0067,0.145,0.1464,0.3279,0.2692,0.1468,0.1077,0.4265,0.1591,0.1673,0.3946,-0.0046,0.3071,0.3175
HE669463,90000,40000,140000,67042,10136,0.2645,0.4006,0.295,0.2963,0.3182,0.2542,0.2101,0.0104,0.1246,0.1287,0.3293,0.2681,0.1516,0.1006,0.4551,0.1503,0.1613,0.4027,0.001,0.3306,0.3426
HE669463,110000,60000,160000,77045,6121,0.2642,0.4102,0.303,0.2824,0.3086,0.2434,0.1868,-0.0064,0.104,0.0985,0.3274,0.254,0.1817,0.1153,0.4435,0.1404,0.1402,0.3987,0.0051,0.3046,0.3278
HE669463,130000,80000,180000,87040,2130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669461,50000,0,100000,7440,3110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669461,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669459,50000,0,100000,50598,21120,0.1196,0.3185,0.0967,0.2509,0.2605,0.2815,0.3007,0.0361,0.2148,0.224,0.2552,0.2977,0.1081,0.1091,0.2175,0.1677,0.1801,0.2372,0.0153,0.0936,0.1035
HE669459,70000,20000,120000,69800,22102,0.1235,0.3087,0.0827,0.248,0.2542,0.272,0.2898,0.0362,0.2142,0.2189,0.2525,0.2802,0.1076,0.0967,0.2113,0.1732,0.1786,0.2286,0.0161,0.0949,0.1054
HE669459,90000,40000,140000,79801,17600,0.1337,0.3092,0.0773,0.2539,0.2532,0.2725,0.2877,0.0362,0.2168,0.2104,0.2488,0.279,0.113,0.0959,0.2128,0.1751,0.1683,0.2283,0.0211,0.0915,0.1076
HE669459,110000,60000,160000,89807,13787,0.1339,0.2973,0.0696,0.2399,0.2382,0.2561,0.2898,0.0499,0.2122,0.2042,0.2425,0.2682,0.1162,0.0904,0.2099,0.1619,0.1537,0.2115,0.0231,0.0873,0.1087
HE669459,130000,80000,180000,99801,9283,0.133,0.2825,0.073,0.2572,0.2255,0.2514,0.2743,0.0642,0.2231,0.1811,0.2393,0.2442,0.1103,0.0773,0.2032,0.1785,0.1531,0.208,0.0165,0.0972,0.0939
HE669459,150000,100000,200000,109802,4784,NA,NA,NA,0.2555,0.2229,0.2601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116,0.1017,0.1003
HE669459,170000,120000,220000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669453,50000,0,100000,33824,13725,0.2983,0.434,0.2772,0.3796,0.3691,0.4011,0.2672,0.0418,0.198,0.1856,0.2733,0.2626,0.1379,0.1422,0.2984,0.1601,0.1253,0.265,-0.0109,0.1355,0.1477
HE669453,70000,20000,120000,43852,8942,0.2756,0.4488,0.27,0.4046,0.381,0.4213,0.2381,0.0242,0.1771,0.1575,0.2558,0.283,0.1332,0.1358,0.3295,0.1794,0.139,0.2886,-0.0068,0.1822,0.1804
HE669453,90000,40000,140000,53825,6045,NA,0.4135,NA,0.387,0.3632,0.4117,0.2338,NA,0.1889,0.1642,0.2734,NA,0.1359,0.1271,0.3533,NA,NA,NA,-0.0144,0.213,0.2106
HE669453,110000,60000,160000,63824,1467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669449,50000,0,100000,49807,18403,0.1664,0.3335,0.1546,0.298,0.301,0.3239,0.2275,0.0182,0.1795,0.1953,0.2668,0.2256,0.1327,0.1358,0.2719,0.1722,0.1833,0.283,0.006,0.1457,0.1604
HE669449,70000,20000,120000,69480,17278,0.1943,0.3512,0.1679,0.2964,0.3,0.3131,0.2346,0.0189,0.1836,0.1939,0.2619,0.2426,0.1321,0.1427,0.2764,0.1742,0.182,0.2763,0.0022,0.1435,0.1636
HE669449,90000,40000,140000,80449,13204,0.2041,0.3371,0.1705,0.3113,0.312,0.3172,0.2226,0.0194,0.2039,0.213,0.2642,0.2302,0.1007,0.1241,0.2386,0.2014,0.2022,0.2709,-0.0018,0.1423,0.1476
HE669449,110000,60000,160000,89481,9998,0.2216,0.3307,0.1769,0.3098,0.318,0.3024,0.2137,0.0284,0.2155,0.2279,0.2608,0.2102,0.1043,0.1299,0.2304,0.2023,0.2052,0.2686,0.0011,0.1216,0.1317
HE669449,130000,80000,180000,99897,6777,0.2401,0.3641,NA,0.323,0.3181,0.2884,0.2308,NA,0.2295,0.211,0.2526,NA,0.1169,0.1177,0.2321,NA,NA,NA,-0.0048,0.1413,0.1555
HE669449,150000,100000,200000,109707,3008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669449,170000,120000,220000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669441,50000,0,100000,13518,6549,0.1384,0.3611,NA,0.2385,0.2617,0.2802,0.2693,NA,0.174,0.1849,0.213,NA,0.1473,0.1546,0.2429,NA,NA,NA,0.0014,0.0496,0.0687
HE669441,70000,20000,120000,23526,1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669439,50000,0,100000,6429,2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669439,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669433,50000,0,100000,50645,12739,0.4815,0.5338,0.4928,0.4963,0.4856,0.5189,0.3188,0.0394,0.2291,0.2131,0.3883,0.3479,0.2506,0.2356,0.4032,0.2374,0.2173,0.468,-0.0081,0.2989,0.2936
HE669433,70000,20000,120000,72833,15760,0.492,0.522,0.4927,0.4815,0.4752,0.4919,0.3311,0.0318,0.2522,0.2463,0.4384,0.3464,0.2426,0.2363,0.4273,0.2506,0.2408,0.4993,-0.0078,0.3257,0.3318
HE669433,90000,40000,140000,90017,17126,0.4893,0.4796,0.4745,0.4428,0.4369,0.445,0.32,0.0429,0.2827,0.2919,0.4655,0.3099,0.2003,0.2083,0.3993,0.2554,0.2622,0.4957,5e-04,0.2979,0.3065
HE669433,110000,60000,160000,109696,18129,0.4441,0.4449,0.4204,0.3929,0.3817,0.3762,0.3365,0.0302,0.2897,0.2913,0.4824,0.3236,0.202,0.1971,0.4357,0.2549,0.2549,0.491,-0.0018,0.3233,0.3231
HE669433,130000,80000,180000,130021,19074,0.4399,0.4449,0.4252,0.3647,0.3725,0.3713,0.3435,-0.0048,0.2738,0.2937,0.5002,0.3377,0.1852,0.1787,0.4559,0.247,0.2653,0.5199,0.001,0.3225,0.3488
HE669433,150000,100000,200000,149999,20452,0.3714,0.3935,0.3439,0.3206,0.3329,0.3626,0.3095,0.0048,0.2522,0.2754,0.4471,0.2887,0.1379,0.137,0.3917,0.2139,0.243,0.4445,0.0081,0.2525,0.2972
HE669433,170000,120000,220000,163992,19208,0.3191,0.379,0.2937,0.3064,0.3157,0.3686,0.2847,0.0063,0.2252,0.2463,0.3985,0.2702,0.1177,0.1089,0.3535,0.1981,0.2259,0.4015,0.011,0.2143,0.254
HE669433,190000,140000,240000,173993,15564,0.2466,0.3689,0.2443,0.291,0.3049,0.3453,0.2744,0.0012,0.197,0.2106,0.3455,0.2785,0.1205,0.097,0.348,0.1945,0.214,0.3631,0.009,0.1986,0.2455
HE669433,210000,160000,260000,184048,11329,0.2186,0.3579,0.2357,0.2796,0.3017,0.3458,0.26,0.0097,0.1829,0.2017,0.3074,0.2642,0.1019,0.0792,0.2975,0.1957,0.221,0.3486,0.0135,0.138,0.2125
HE669433,230000,180000,280000,193995,6986,0.1656,0.3114,0.1659,0.2771,0.266,0.3412,0.2147,0.0156,0.1696,0.1651,0.2552,0.2026,0.0887,0.0696,0.2084,0.1786,0.1811,0.2849,0.0164,0.079,0.1263
HE669433,250000,200000,300000,203993,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669429,50000,0,100000,17402,6138,0.2872,0.4915,0.2884,0.3037,0.4637,0.276,0.2783,0.0155,0.1747,0.2286,0.3004,0.2392,0.1489,0.127,0.4349,0.1027,0.1608,0.2796,0.073,0.1944,0.4239
HE669429,70000,20000,120000,27199,2498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669407,50000,0,100000,51618,19059,0.4046,0.4497,0.3528,0.426,0.4078,0.3792,0.385,0.0767,0.3766,0.3573,0.3855,0.3318,0.3148,0.3154,0.3759,0.3038,0.2796,0.3204,0.0148,0.1741,0.1515
HE669407,70000,20000,120000,66774,18202,0.3755,0.4434,0.3522,0.4394,0.4162,0.3624,0.3828,0.0812,0.3946,0.3638,0.383,0.3386,0.3403,0.3256,0.3915,0.3271,0.2916,0.337,0.005,0.1914,0.1588
HE669407,90000,40000,140000,76775,14144,0.3871,0.4592,0.3709,0.4511,0.4292,0.371,0.3976,0.0854,0.3998,0.3699,0.3879,0.363,0.3708,0.3525,0.4117,0.3405,0.3019,0.3475,0.0026,0.2083,0.177
HE669407,110000,60000,160000,86777,10134,0.4067,0.4582,0.384,0.4643,0.4305,0.3798,0.3662,0.069,0.3843,0.3469,0.3833,0.3503,0.4023,0.3706,0.4443,0.35,0.294,0.355,-0.0074,0.2268,0.1711
HE669407,130000,80000,180000,96777,6292,0.3203,0.442,0.3664,0.4487,0.4064,0.3517,0.3154,0.0295,0.383,0.3461,0.4031,0.32,0.4072,0.3725,0.4619,0.3697,0.312,0.4175,-0.0179,0.2643,0.2064
HE669407,150000,100000,200000,106784,2663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669407,170000,120000,220000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669403,50000,0,100000,25024,11181,0.2712,0.3929,0.1776,0.2776,0.2837,0.2558,0.2969,0.1074,0.1967,0.2224,0.2243,0.2401,0.102,0.1256,0.2092,0.0906,0.1167,0.1417,-0.0059,0.0803,0.0892
HE669403,70000,20000,120000,34989,6897,0.2354,NA,NA,0.2665,0.2657,0.25,NA,NA,0.2278,0.2423,0.2664,NA,NA,NA,NA,NA,NA,NA,-0.009,0.1079,0.1101
HE669403,90000,40000,140000,45046,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669391,50000,0,100000,6451,2617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669391,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669387,50000,0,100000,17252,5460,0.3873,0.5024,0.3249,0.4369,0.3853,0.3544,0.3447,0.0112,0.3399,0.304,0.4197,0.3355,0.3322,0.2421,0.5115,0.3254,0.2632,0.4089,0.1495,0.4069,0.3931
HE669387,70000,20000,120000,26488,2171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669381,50000,0,100000,5185,2623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669381,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669373,50000,0,100000,10467,4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0019,0.046,NA
HE669373,70000,20000,120000,20359,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669371,50000,0,100000,50291,20305,0.09,0.3261,0.1027,0.2623,0.2695,0.2896,0.2783,0.066,0.2266,0.2338,0.263,0.2875,0.0914,0.0845,0.168,0.2024,0.2184,0.2503,0.0088,0.0601,0.0588
HE669371,70000,20000,120000,61325,17150,0.0835,0.3327,0.1108,0.2655,0.2689,0.3003,0.2894,0.0706,0.2296,0.235,0.2739,0.2785,0.0939,0.0862,0.1726,0.1902,0.2104,0.2542,0.0036,0.0618,0.0535
HE669371,90000,40000,140000,71326,13029,0.0879,0.3316,0.1054,0.2701,0.2695,0.2988,0.2948,0.0585,0.2306,0.2312,0.2762,0.294,0.091,0.0832,0.1642,0.2092,0.2197,0.2612,0.0028,0.0544,0.0495
HE669371,110000,60000,160000,81325,9028,0.0947,0.3282,0.0812,0.2664,0.2661,0.3056,0.3214,0.0657,0.252,0.2556,0.3024,0.3219,0.1002,0.0953,0.169,0.2321,0.2496,0.2891,-0.0045,0.0547,0.0399
HE669371,130000,80000,180000,91327,4885,NA,NA,NA,0.2522,0.2755,0.3045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007,0.0628,0.0375
HE669371,150000,100000,200000,101333,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669359,50000,0,100000,9226,3331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0235,0.624,0.6574
HE669359,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669357,50000,0,100000,50210,21449,0.1651,0.3287,0.1756,0.2718,0.2638,0.3137,0.2614,0.0158,0.2131,0.2019,0.2794,0.2451,0.0949,0.0995,0.2179,0.1885,0.1745,0.272,0.0085,0.1068,0.112
HE669357,70000,20000,120000,70000,22291,0.1096,0.3056,0.13,0.2512,0.2476,0.3189,0.254,0.0244,0.2068,0.1989,0.2845,0.2421,0.0853,0.0913,0.2267,0.1824,0.1784,0.2935,0.0111,0.1249,0.1304
HE669357,90000,40000,140000,89630,22322,0.1192,0.3134,0.1292,0.2563,0.2517,0.3477,0.2613,0.044,0.2166,0.202,0.3102,0.2563,0.0861,0.0779,0.2626,0.1953,0.1864,0.3403,0.0131,0.1609,0.1602
HE669357,110000,60000,160000,109990,20546,0.1278,0.3309,0.1423,0.2777,0.2784,0.3614,0.2627,0.0521,0.22,0.2114,0.3152,0.2651,0.0846,0.0694,0.2834,0.209,0.2048,0.358,0.0075,0.191,0.1854
HE669357,130000,80000,180000,129997,18997,0.1297,0.373,0.1642,0.3284,0.3169,0.3827,0.2878,0.0539,0.252,0.2265,0.3187,0.3086,0.118,0.0829,0.3795,0.2653,0.2329,0.4104,0.0156,0.3056,0.2853
HE669357,150000,100000,200000,149998,17464,0.2302,0.4762,0.338,0.4348,0.4301,0.3775,0.2835,0.0311,0.2499,0.2246,0.4022,0.3017,0.1367,0.1015,0.5493,0.2623,0.2295,0.5571,0.0205,0.501,0.4922
HE669357,170000,120000,220000,170000,16120,0.3032,0.5227,0.4511,0.5128,0.5107,0.3963,0.2723,0.012,0.2694,0.2529,0.4654,0.2948,0.1449,0.1142,0.623,0.3027,0.2744,0.6581,0.0195,0.612,0.6059
HE669357,190000,140000,240000,181666,11580,0.3602,0.5922,0.5494,0.5937,0.5926,0.4189,0.2866,-0.0162,0.3036,0.287,0.5246,0.3105,0.1677,0.1323,0.7053,0.361,0.3203,0.7381,0.0179,0.7049,0.7024
HE669357,210000,160000,260000,190731,8726,0.4155,0.6352,0.6195,0.6559,0.6486,0.4636,0.2681,-0.0218,0.3174,0.2915,0.5788,0.2923,0.1883,0.1522,0.7668,0.3988,0.3368,0.8148,0.0321,0.7847,0.7777
HE669357,230000,180000,280000,200718,5733,0.4982,0.6753,0.7088,0.7026,0.7138,0.4836,0.1922,-0.0545,0.2608,0.2821,0.6391,0.1811,0.1414,0.1712,0.7936,0.3269,0.3561,0.872,0.0224,0.8227,0.8358
HE669357,250000,200000,300000,210710,2935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669357,270000,220000,320000,220710,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669345,50000,0,100000,6359,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669345,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669339,50000,0,100000,27816,9201,0.1696,0.3322,0.1253,0.2658,0.2646,0.3031,0.2531,0.0365,0.1685,0.1711,0.224,0.2517,0.1231,0.1284,0.2235,0.1566,0.1458,0.2227,0.0126,0.1034,0.0977
HE669339,70000,20000,120000,37828,5947,0.1648,0.3392,NA,0.2623,0.2612,0.304,0.272,NA,0.185,0.1847,0.2175,NA,0.1278,0.1377,0.2151,NA,NA,NA,0.0207,0.0994,0.0989
HE669339,90000,40000,140000,47810,2509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669339,110000,60000,160000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669331,50000,0,100000,21074,4341,0.6204,0.6316,NA,0.4835,0.5951,0.4398,0.3855,NA,0.3058,0.4039,0.8491,NA,0.3344,0.4232,0.8588,NA,NA,NA,0.0037,0.6933,0.8112
HE669331,70000,20000,120000,31428,2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669329,50000,0,100000,14748,4935,0.39,0.4379,NA,0.3584,0.4137,0.3781,0.3161,NA,0.2129,0.2539,0.3246,NA,0.1065,0.1526,0.2999,NA,NA,0.333,0.0303,0.1411,0.2257
HE669329,70000,20000,120000,24426,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE669327,50000,0,100000,50115,21244,0.3162,0.4013,0.2986,0.3383,0.3403,0.3253,0.2976,0.0756,0.2216,0.2129,0.3672,0.2793,0.1344,0.1258,0.382,0.2016,0.1864,0.3458,0.0121,0.2837,0.2724
HE669327,70000,20000,120000,70003,21593,0.3262,0.3896,0.2917,0.3418,0.3402,0.3199,0.3395,0.05,0.257,0.2421,0.3539,0.3205,0.1371,0.1359,0.3226,0.2371,0.2139,0.3359,0.0078,0.2143,0.2081
HE669327,90000,40000,140000,90004,22511,0.3223,0.3823,0.2746,0.3295,0.3309,0.333,0.3238,0.0369,0.2503,0.2404,0.3303,0.3094,0.1347,0.1376,0.2983,0.2189,0.2031,0.3094,0.0077,0.1836,0.1772
HE669327,110000,60000,160000,103111,19115,0.2991,0.3808,0.2403,0.3202,0.3287,0.3171,0.3399,0.0507,0.2607,0.2572,0.3394,0.3237,0.141,0.1554,0.3081,0.2227,0.2102,0.3028,0.0016,0.1697,0.1711
HE669327,130000,80000,180000,113105,14312,0.31,0.3912,0.2541,0.3266,0.3357,0.3424,0.3345,0.0457,0.2527,0.2516,0.3306,0.3192,0.132,0.1507,0.2834,0.2136,0.2029,0.2957,0.0065,0.1382,0.1298
HE669327,150000,100000,200000,123108,10006,0.3182,0.3989,0.2522,0.3251,0.3431,0.361,0.356,0.0375,0.2698,0.2749,0.3484,0.3613,0.1372,0.1713,0.2862,0.2351,0.2256,0.3119,0.0066,0.1177,0.1213
